#Ligand;TotalEnergy;Aktif
cav1m17_AQ4-ZINC28822563-0.pdb;-104.311;0
cav1m17_AQ4-ZINC38547628-0.pdb;-104.287;0
cav1m17_AQ4-ZINC39361902-0.pdb;-104.208;0
cav1m17_AQ4-ZINC38556287-0.pdb;-104.206;0
cav1m17_AQ4-ZINC12047075-0.pdb;-104.192;0
cav1m17_AQ4-ZINC64202262-0.pdb;-104.188;0
cav1m17_AQ4-ZINC13729431-0.pdb;-104.17;0
cav1m17_AQ4-ZINC08648535-0.pdb;-104.147;0
cav1m17_AQ4-ZINC06162451-0.pdb;-104.091;0
cav1m17_AQ4-ZINC12183729-0.pdb;-104.078;0
cav1m17_AQ4-ZINC39701674-0.pdb;-104.077;0
cav1m17_AQ4-ZINC13108036-0.pdb;-104.055;0
cav1m17_AQ4-ZINC53370061-0.pdb;-104.046;0
cav1m17_AQ4-ZINC40569512-0.pdb;-104.025;0
cav1m17_AQ4-ZINC23549996-0.pdb;-104.023;0
cav1m17_AQ4-ZINC20295056-0.pdb;-104.015;0
cav1m17_AQ4-ZINC07321229-0.pdb;-103.961;0
cav1m17_AQ4-ZINC01380023-0.pdb;-103.929;0
cav1m17_AQ4-ZINC12872160-0.pdb;-103.909;0
cav1m17_AQ4-ZINC33225160-0.pdb;-103.877;0
cav1m17_AQ4-ZINC36491593-0.pdb;-103.877;0
cav1m17_AQ4-ZINC39691006-0.pdb;-103.868;0
cav1m17_AQ4-ZINC53629491-0.pdb;-103.848;0
cav1m17_AQ4-ZINC35143887-0.pdb;-103.841;0
cav1m17_AQ4-ZINC27578395-0.pdb;-103.822;0
cav1m17_AQ4-ZINC19641160-0.pdb;-103.809;0
cav1m17_AQ4-ZINC35343736-0.pdb;-103.783;0
cav1m17_AQ4-ZINC65398384-0.pdb;-103.757;0
cav1m17_AQ4-ZINC40476354-0.pdb;-103.744;0
cav1m17_AQ4-ZINC64352970-0.pdb;-103.742;0
cav1m17_AQ4-ZINC40021861-0.pdb;-103.717;0
cav1m17_AQ4-ZINC20271881-0.pdb;-103.703;0
cav1m17_AQ4-ZINC64202281-0.pdb;-103.699;0
cav1m17_AQ4-ZINC39229640-0.pdb;-103.694;0
cav1m17_AQ4-ZINC12151545-0.pdb;-103.692;0
cav1m17_AQ4-ZINC09801153-0.pdb;-103.627;0
cav1m17_AQ4-ZINC01436931-0.pdb;-103.619;0
cav1m17_AQ4-ZINC39637348-0.pdb;-103.609;0
cav1m17_AQ4-ZINC12484168-0.pdb;-103.506;0
cav1m17_AQ4-ZINC40849394-0.pdb;-103.499;0
cav1m17_AQ4-ZINC12498268-0.pdb;-103.491;0
cav1m17_AQ4-ZINC12641387-0.pdb;-103.448;0
cav1m17_AQ4-ZINC63908235-0.pdb;-103.43;0
cav1m17_AQ4-ZINC50896052-0.pdb;-103.424;0
cav1m17_AQ4-ZINC63731917-0.pdb;-103.376;0
cav1m17_AQ4-ZINC12498210-0.pdb;-103.367;0
cav1m17_AQ4-ZINC22282548-0.pdb;-103.343;0
cav1m17_AQ4-ZINC57377550-0.pdb;-103.323;0
cav1m17_AQ4-ZINC32747660-0.pdb;-103.301;0
cav1m17_AQ4-ZINC39444102-0.pdb;-103.296;0
cav1m17_AQ4-ZINC45898899-0.pdb;-103.271;0
cav1m17_AQ4-ZINC49421168-0.pdb;-103.26;0
cav1m17_AQ4-ZINC11898477-0.pdb;-103.258;0
cav1m17_AQ4-ZINC13064163-0.pdb;-103.183;0
cav1m17_AQ4-ZINC63485997-0.pdb;-103.167;0
cav1m17_AQ4-ZINC04752008-0.pdb;-103.162;0
cav1m17_AQ4-ZINC36056889-0.pdb;-103.1;0
cav1m17_AQ4-ZINC39633638-0.pdb;-103.027;0
cav1m17_AQ4-ZINC39450592-0.pdb;-102.979;0
cav1m17_AQ4-ZINC36024608-0.pdb;-102.962;0
cav1m17_AQ4-ZINC07737385-0.pdb;-102.893;0
cav1m17_AQ4-ZINC59040247-0.pdb;-102.891;0
cav1m17_AQ4-ZINC04384801-0.pdb;-102.884;0
cav1m17_AQ4-ZINC39664987-0.pdb;-102.849;0
cav1m17_AQ4-ZINC39662265-0.pdb;-102.847;0
cav1m17_AQ4-ZINC38658149-0.pdb;-102.827;0
cav1m17_AQ4-ZINC13501889-0.pdb;-102.821;0
cav1m17_AQ4-ZINC63855260-0.pdb;-102.808;0
cav1m17_AQ4-ZINC38583141-0.pdb;-102.804;0
cav1m17_AQ4-ZINC38685923-0.pdb;-102.8;0
cav1m17_AQ4-ZINC06149284-0.pdb;-102.793;0
cav1m17_AQ4-ZINC39666101-0.pdb;-102.745;0
cav1m17_AQ4-ZINC33072119-0.pdb;-102.739;0
cav1m17_AQ4-ZINC41585943-0.pdb;-102.717;0
cav1m17_AQ4-ZINC11854489-0.pdb;-102.709;0
cav1m17_AQ4-ZINC63375401-0.pdb;-102.661;0
cav1m17_AQ4-ZINC39226371-0.pdb;-102.636;0
cav1m17_AQ4-ZINC64173363-0.pdb;-102.592;0
cav1m17_AQ4-ZINC08923397-0.pdb;-102.585;0
cav1m17_AQ4-ZINC57511900-0.pdb;-102.564;0
cav1m17_AQ4-ZINC12208604-0.pdb;-102.552;0
cav1m17_AQ4-ZINC60042719-0.pdb;-102.505;0
cav1m17_AQ4-ZINC63280092-0.pdb;-102.487;0
cav1m17_AQ4-ZINC20079954-0.pdb;-102.479;0
cav1m17_AQ4-ZINC08918784-0.pdb;-102.471;0
cav1m17_AQ4-ZINC39467375-0.pdb;-102.411;0
cav1m17_AQ4-ZINC39226239-0.pdb;-102.407;0
cav1m17_AQ4-ZINC36638404-0.pdb;-102.375;0
cav1m17_AQ4-ZINC35155750-0.pdb;-102.33;0
cav1m17_AQ4-ZINC67457884-0.pdb;-102.306;0
cav1m17_AQ4-ZINC13007973-0.pdb;-102.28;0
cav1m17_AQ4-ZINC19900718-0.pdb;-102.268;0
cav1m17_AQ4-ZINC40569317-0.pdb;-102.256;0
cav1m17_AQ4-ZINC09197429-0.pdb;-102.247;0
cav1m17_AQ4-ZINC63270802-0.pdb;-102.243;0
cav1m17_AQ4-ZINC44884617-0.pdb;-102.237;0
cav1m17_AQ4-ZINC24641477-0.pdb;-102.182;0
cav1m17_AQ4-ZINC49421091-0.pdb;-102.164;0
cav1m17_AQ4-ZINC39636079-0.pdb;-102.107;0
cav1m17_AQ4-ZINC41514099-0.pdb;-101.991;0
cav1m17_AQ4-ZINC08595971-0.pdb;-101.963;0
cav1m17_AQ4-ZINC09102572-0.pdb;-101.952;0
cav1m17_AQ4-ZINC13151046-0.pdb;-101.95;0
cav1m17_AQ4-ZINC02747764-0.pdb;-101.911;0
cav1m17_AQ4-ZINC39636434-0.pdb;-101.881;0
cav1m17_AQ4-ZINC07090896-0.pdb;-101.879;0
cav1m17_AQ4-ZINC25325929-0.pdb;-101.857;0
cav1m17_AQ4-ZINC15022103-0.pdb;-101.851;0
cav1m17_AQ4-ZINC19309331-0.pdb;-101.826;0
cav1m17_AQ4-ZINC65074734-0.pdb;-101.794;0
cav1m17_AQ4-ZINC36783981-0.pdb;-101.746;0
cav1m17_AQ4-ZINC01032419-0.pdb;-101.687;0
cav1m17_AQ4-CHEMBL28148-0.pdb;-101.674;1
cav1m17_AQ4-ZINC15722079-0.pdb;-101.655;0
cav1m17_AQ4-ZINC36029728-0.pdb;-101.6;0
cav1m17_AQ4-ZINC38519845-0.pdb;-101.589;0
cav1m17_AQ4-ZINC05149615-0.pdb;-101.577;0
cav1m17_AQ4-ZINC14015258-0.pdb;-101.548;0
cav1m17_AQ4-ZINC63731288-0.pdb;-101.535;0
cav1m17_AQ4-ZINC52566197-0.pdb;-101.488;0
cav1m17_AQ4-ZINC45513223-0.pdb;-101.465;0
cav1m17_AQ4-ZINC11866243-0.pdb;-101.46;0
cav1m17_AQ4-ZINC12882862-0.pdb;-101.457;0
cav1m17_AQ4-ZINC19936554-0.pdb;-101.453;0
cav1m17_AQ4-ZINC00602908-0.pdb;-101.401;0
cav1m17_AQ4-CHEMBL417420-0.pdb;-101.395;1
cav1m17_AQ4-ZINC09208669-0.pdb;-101.376;0
cav1m17_AQ4-ZINC14991009-0.pdb;-101.371;0
cav1m17_AQ4-CHEMBL307209-0.pdb;-101.354;1
cav1m17_AQ4-ZINC07002777-0.pdb;-101.318;0
cav1m17_AQ4-ZINC63809693-0.pdb;-101.313;0
cav1m17_AQ4-ZINC34954484-0.pdb;-101.299;0
cav1m17_AQ4-ZINC06839646-0.pdb;-101.237;0
cav1m17_AQ4-ZINC08971871-0.pdb;-101.225;0
cav1m17_AQ4-ZINC39396518-0.pdb;-101.197;0
cav1m17_AQ4-ZINC63491986-0.pdb;-101.175;0
cav1m17_AQ4-CHEMBL94109-0.pdb;-101.156;1
cav1m17_AQ4-ZINC39550749-0.pdb;-101.137;0
cav1m17_AQ4-ZINC14129405-0.pdb;-101.136;0
cav1m17_AQ4-ZINC13496413-0.pdb;-101.131;0
cav1m17_AQ4-ZINC09265800-0.pdb;-101.129;0
cav1m17_AQ4-ZINC21869334-0.pdb;-101.123;0
cav1m17_AQ4-ZINC36507200-0.pdb;-101.123;0
cav1m17_AQ4-ZINC12754482-0.pdb;-101.083;0
cav1m17_AQ4-ZINC21348923-0.pdb;-101.063;0
cav1m17_AQ4-ZINC25443647-0.pdb;-101.032;0
cav1m17_AQ4-ZINC04718140-0.pdb;-101.027;0
cav1m17_AQ4-ZINC63617447-0.pdb;-100.96;0
cav1m17_AQ4-ZINC11297232-0.pdb;-100.944;0
cav1m17_AQ4-ZINC65074881-0.pdb;-100.944;0
cav1m17_AQ4-ZINC39639011-0.pdb;-100.919;0
cav1m17_AQ4-ZINC36589835-0.pdb;-100.897;0
cav1m17_AQ4-ZINC00382416-0.pdb;-100.89;0
cav1m17_AQ4-ZINC12347935-0.pdb;-100.889;0
cav1m17_AQ4-ZINC09430597-0.pdb;-100.884;0
cav1m17_AQ4-ZINC01380022-0.pdb;-100.879;0
cav1m17_AQ4-ZINC20159749-0.pdb;-100.855;0
cav1m17_AQ4-ZINC08695096-0.pdb;-100.833;0
cav1m17_AQ4-ZINC17012018-0.pdb;-100.832;0
cav1m17_AQ4-ZINC39659855-0.pdb;-100.825;0
cav1m17_AQ4-ZINC12707209-0.pdb;-100.787;0
cav1m17_AQ4-ZINC39990897-0.pdb;-100.778;0
cav1m17_AQ4-ZINC35316163-0.pdb;-100.775;0
cav1m17_AQ4-ZINC39068004-0.pdb;-100.76;0
cav1m17_AQ4-ZINC63303075-0.pdb;-100.719;0
cav1m17_AQ4-ZINC18114103-0.pdb;-100.708;0
cav1m17_AQ4-ZINC35533866-0.pdb;-100.654;0
cav1m17_AQ4-ZINC02149273-0.pdb;-100.628;0
cav1m17_AQ4-ZINC19125698-0.pdb;-100.61;0
cav1m17_AQ4-ZINC07130661-0.pdb;-100.605;0
cav1m17_AQ4-ZINC36638402-0.pdb;-100.588;0
cav1m17_AQ4-ZINC12551532-0.pdb;-100.544;0
cav1m17_AQ4-ZINC17304331-0.pdb;-100.526;0
cav1m17_AQ4-ZINC40323618-0.pdb;-100.526;0
cav1m17_AQ4-ZINC12174641-0.pdb;-100.525;0
cav1m17_AQ4-ZINC05678345-0.pdb;-100.511;0
cav1m17_AQ4-ZINC33121183-0.pdb;-100.508;0
cav1m17_AQ4-ZINC28632022-0.pdb;-100.484;0
cav1m17_AQ4-ZINC65298388-0.pdb;-100.473;0
cav1m17_AQ4-ZINC21018130-0.pdb;-100.467;0
cav1m17_AQ4-ZINC39635768-0.pdb;-100.449;0
cav1m17_AQ4-ZINC48150790-0.pdb;-100.433;0
cav1m17_AQ4-ZINC43108804-0.pdb;-100.428;0
cav1m17_AQ4-ZINC03079172-0.pdb;-100.426;0
cav1m17_AQ4-ZINC09169221-0.pdb;-100.392;0
cav1m17_AQ4-ZINC13142499-0.pdb;-100.362;0
cav1m17_AQ4-ZINC22930747-0.pdb;-100.359;0
cav1m17_AQ4-ZINC14126101-0.pdb;-100.334;0
cav1m17_AQ4-ZINC35325153-0.pdb;-100.299;0
cav1m17_AQ4-ZINC48373950-0.pdb;-100.271;0
cav1m17_AQ4-ZINC35452555-0.pdb;-100.255;0
cav1m17_AQ4-ZINC25589169-0.pdb;-100.2;0
cav1m17_AQ4-ZINC14525922-0.pdb;-100.15;0
cav1m17_AQ4-ZINC11112962-0.pdb;-100.107;0
cav1m17_AQ4-ZINC05717899-0.pdb;-100.055;0
cav1m17_AQ4-ZINC63437319-0.pdb;-100.046;0
cav1m17_AQ4-ZINC38787492-0.pdb;-99.9606;0
cav1m17_AQ4-ZINC20080967-0.pdb;-99.9495;0
cav1m17_AQ4-ZINC64816370-0.pdb;-99.9077;0
cav1m17_AQ4-ZINC14038013-0.pdb;-99.8934;0
cav1m17_AQ4-ZINC23196917-0.pdb;-99.8507;0
cav1m17_AQ4-ZINC36296517-0.pdb;-99.8307;0
cav1m17_AQ4-ZINC05923871-0.pdb;-99.8205;0
cav1m17_AQ4-ZINC15942799-0.pdb;-99.8107;0
cav1m17_AQ4-ZINC05365783-0.pdb;-99.79;0
cav1m17_AQ4-ZINC17794237-0.pdb;-99.784;0
cav1m17_AQ4-ZINC14359392-0.pdb;-99.7528;0
cav1m17_AQ4-ZINC17157288-0.pdb;-99.7427;0
cav1m17_AQ4-ZINC24834502-0.pdb;-99.7354;0
cav1m17_AQ4-ZINC36531503-0.pdb;-99.7346;0
cav1m17_AQ4-ZINC59256179-0.pdb;-99.7339;0
cav1m17_AQ4-ZINC22066159-0.pdb;-99.7269;0
cav1m17_AQ4-ZINC64079261-0.pdb;-99.7218;0
cav1m17_AQ4-ZINC02074338-0.pdb;-99.6995;0
cav1m17_AQ4-ZINC39677237-0.pdb;-99.6049;0
cav1m17_AQ4-ZINC39639249-0.pdb;-99.5794;0
cav1m17_AQ4-ZINC36039574-0.pdb;-99.5722;0
cav1m17_AQ4-ZINC35916135-0.pdb;-99.5619;0
cav1m17_AQ4-ZINC12467518-0.pdb;-99.5384;0
cav1m17_AQ4-ZINC54946104-0.pdb;-99.4709;0
cav1m17_AQ4-ZINC35399313-0.pdb;-99.4672;0
cav1m17_AQ4-ZINC40570930-0.pdb;-99.454;0
cav1m17_AQ4-ZINC64156643-0.pdb;-99.4265;0
cav1m17_AQ4-ZINC19294733-0.pdb;-99.4236;0
cav1m17_AQ4-ZINC36039575-0.pdb;-99.4146;0
cav1m17_AQ4-ZINC09831182-0.pdb;-99.4138;0
cav1m17_AQ4-ZINC38762100-0.pdb;-99.4044;0
cav1m17_AQ4-ZINC59891759-0.pdb;-99.3749;0
cav1m17_AQ4-ZINC26569586-0.pdb;-99.3711;0
cav1m17_AQ4-ZINC38733182-0.pdb;-99.3582;0
cav1m17_AQ4-ZINC21250991-0.pdb;-99.3302;0
cav1m17_AQ4-ZINC25265627-0.pdb;-99.3087;0
cav1m17_AQ4-ZINC63908658-0.pdb;-99.3057;0
cav1m17_AQ4-ZINC04061365-0.pdb;-99.266;0
cav1m17_AQ4-ZINC04092863-0.pdb;-99.2578;0
cav1m17_AQ4-ZINC34716373-0.pdb;-99.2426;0
cav1m17_AQ4-ZINC07963987-0.pdb;-99.2031;0
cav1m17_AQ4-ZINC12603031-0.pdb;-99.1723;0
cav1m17_AQ4-ZINC06162688-0.pdb;-99.1414;0
cav1m17_AQ4-ZINC09056431-0.pdb;-99.1405;0
cav1m17_AQ4-ZINC59332585-0.pdb;-99.1277;0
cav1m17_AQ4-ZINC64672744-0.pdb;-99.1184;0
cav1m17_AQ4-ZINC39688773-0.pdb;-99.0576;0
cav1m17_AQ4-ZINC21176217-0.pdb;-99.0505;0
