#Compound	C.ring	C.other	N.ring	N.other	O.ring	O.other	P	S	X	#.of.Ring
cav1m17_AQ4-ZINC01032419-0.pdb	16	2	3	1	1	2	0	2	0	6
cav1m17_AQ4-ZINC01032422-0.pdb	16	2	4	1	0	2	0	2	0	6
cav1m17_AQ4-ZINC01048826-0.pdb	17	0	5	0	0	1	0	1	2	5
cav1m17_AQ4-ZINC01069598-0.pdb	23	4	2	0	1	4	0	0	0	5
cav1m17_AQ4-ZINC01121360-0.pdb	19	3	1	3	0	4	0	1	0	4
cav1m17_AQ4-ZINC01290931-0.pdb	10	1	2	2	0	1	0	1	0	3
cav1m17_AQ4-ZINC01324022-0.pdb	18	4	2	1	2	2	0	0	0	4
cav1m17_AQ4-ZINC01380022-0.pdb	22	7	0	2	3	4	0	0	0	5
cav1m17_AQ4-ZINC01380023-0.pdb	22	7	0	2	3	4	0	0	0	5
cav1m17_AQ4-ZINC01436931-0.pdb	14	7	1	1	0	6	0	2	0	4
cav1m17_AQ4-ZINC01445805-0.pdb	16	5	2	0	1	2	0	0	0	4
cav1m17_AQ4-ZINC01456575-0.pdb	24	3	1	0	0	5	0	1	0	5
cav1m17_AQ4-ZINC01509805-0.pdb	21	4	2	1	0	4	0	1	0	4
cav1m17_AQ4-ZINC01568757-0.pdb	18	0	0	1	0	6	0	2	0	3
cav1m17_AQ4-ZINC01586845-0.pdb	23	0	2	1	0	2	0	0	0	6
cav1m17_AQ4-ZINC01645723-0.pdb	9	1	2	2	0	1	0	0	1	2
cav1m17_AQ4-ZINC01783681-0.pdb	16	6	2	2	0	4	0	1	0	4
cav1m17_AQ4-ZINC02036997-0.pdb	20	0	1	0	2	0	0	0	0	4
cav1m17_AQ4-ZINC02074338-0.pdb	15	5	4	2	0	1	0	3	0	5
cav1m17_AQ4-ZINC02149273-0.pdb	22	4	2	2	0	3	0	0	0	5
cav1m17_AQ4-ZINC02246880-0.pdb	24	6	3	0	0	3	0	0	0	6
cav1m17_AQ4-ZINC02250256-0.pdb	14	9	1	3	1	1	0	0	1	3
cav1m17_AQ4-ZINC02250257-0.pdb	14	9	1	3	1	1	0	0	1	3
cav1m17_AQ4-ZINC02259287-0.pdb	15	7	5	1	1	0	0	2	0	5
cav1m17_AQ4-ZINC02336287-0.pdb	13	3	4	1	0	2	0	1	0	4
cav1m17_AQ4-ZINC02492909-0.pdb	16	3	2	1	0	1	0	1	0	4
cav1m17_AQ4-ZINC02564905-0.pdb	10	3	5	1	0	1	0	2	3	3
cav1m17_AQ4-ZINC02595211-0.pdb	15	4	2	1	0	4	0	0	0	4
cav1m17_AQ4-ZINC02645160-0.pdb	28	0	2	2	0	0	0	0	0	6
cav1m17_AQ4-ZINC02747764-0.pdb	13	11	5	1	0	3	0	2	0	4
cav1m17_AQ4-ZINC02770384-0.pdb	10	7	0	2	0	3	0	1	2	2
cav1m17_AQ4-ZINC02775874-0.pdb	21	7	1	1	0	7	0	0	0	4
cav1m17_AQ4-ZINC02778657-0.pdb	13	7	4	1	0	2	0	1	1	4
cav1m17_AQ4-ZINC02794930-0.pdb	14	2	0	2	1	2	0	0	1	3
cav1m17_AQ4-ZINC02997965-0.pdb	18	2	0	3	1	4	0	1	0	4
cav1m17_AQ4-ZINC03043759-0.pdb	15	6	2	1	2	2	0	1	0	4
cav1m17_AQ4-ZINC03058824-0.pdb	0	16	0	4	0	2	0	0	4	0
cav1m17_AQ4-ZINC03073369-0.pdb	19	5	0	1	2	3	0	0	1	4
cav1m17_AQ4-ZINC03079172-0.pdb	17	6	2	1	0	4	0	2	0	4
cav1m17_AQ4-ZINC03101239-0.pdb	12	5	0	4	0	4	0	0	0	2
cav1m17_AQ4-ZINC03104245-0.pdb	17	0	3	0	0	2	0	0	1	6
cav1m17_AQ4-ZINC03137443-0.pdb	0	9	0	4	0	1	0	0	6	0
cav1m17_AQ4-ZINC03311161-0.pdb	13	4	0	3	0	1	0	0	0	3
cav1m17_AQ4-ZINC03339275-0.pdb	24	2	3	2	0	1	0	1	0	5
cav1m17_AQ4-ZINC03345833-0.pdb	21	4	2	1	0	3	0	0	2	4
cav1m17_AQ4-ZINC03358063-0.pdb	16	7	2	1	0	5	0	0	0	3
cav1m17_AQ4-ZINC03410439-0.pdb	16	7	3	1	0	3	0	0	0	4
cav1m17_AQ4-ZINC03461803-0.pdb	15	9	2	2	0	4	0	0	0	3
cav1m17_AQ4-ZINC03465223-0.pdb	15	7	2	1	0	3	0	0	2	3
cav1m17_AQ4-ZINC03522792-0.pdb	14	6	2	2	0	3	0	1	0	4
cav1m17_AQ4-ZINC03537774-0.pdb	16	2	4	1	0	1	0	1	0	4
cav1m17_AQ4-ZINC03646032-0.pdb	19	4	2	3	0	1	0	1	0	4
cav1m17_AQ4-ZINC03696946-0.pdb	20	0	3	0	1	0	0	0	0	6
cav1m17_AQ4-ZINC03841484-0.pdb	22	1	2	1	0	3	0	1	0	6
cav1m17_AQ4-ZINC03842057-0.pdb	24	3	3	1	0	2	0	0	0	7
cav1m17_AQ4-ZINC03953782-0.pdb	14	0	3	1	0	0	0	0	1	3
cav1m17_AQ4-ZINC04016734-0.pdb	19	7	2	0	1	4	0	0	0	4
cav1m17_AQ4-ZINC04045394-0.pdb	16	6	1	3	0	3	0	0	0	3
cav1m17_AQ4-ZINC04061365-0.pdb	18	3	5	0	0	2	0	1	0	4
cav1m17_AQ4-ZINC04073938-0.pdb	17	4	0	0	0	4	0	0	0	4
cav1m17_AQ4-ZINC04073939-0.pdb	17	4	0	0	0	4	0	0	0	4
cav1m17_AQ4-ZINC04084346-0.pdb	19	5	3	0	0	3	0	0	0	5
cav1m17_AQ4-ZINC04092863-0.pdb	14	12	1	3	1	3	0	0	0	4
cav1m17_AQ4-ZINC04125417-0.pdb	13	5	3	2	0	2	0	2	0	4
cav1m17_AQ4-ZINC04130519-0.pdb	15	4	1	1	0	1	0	0	0	3
cav1m17_AQ4-ZINC04143908-0.pdb	11	5	0	2	0	3	0	1	0	3
cav1m17_AQ4-ZINC04245239-0.pdb	18	1	0	1	3	1	0	0	1	4
cav1m17_AQ4-ZINC04246141-0.pdb	12	4	0	3	0	5	0	0	1	2
cav1m17_AQ4-ZINC04262965-0.pdb	16	6	2	1	0	4	0	0	0	3
cav1m17_AQ4-ZINC04290112-0.pdb	23	2	1	0	1	3	0	0	0	6
cav1m17_AQ4-ZINC04308656-0.pdb	15	5	2	1	0	3	0	0	0	4
cav1m17_AQ4-ZINC04384801-0.pdb	20	0	3	1	0	2	0	0	0	5
cav1m17_AQ4-ZINC04386982-0.pdb	13	1	3	0	0	2	0	1	2	3
cav1m17_AQ4-ZINC04399832-0.pdb	12	5	3	1	2	1	0	0	0	5
cav1m17_AQ4-ZINC04405596-0.pdb	12	5	0	4	0	4	0	0	0	2
cav1m17_AQ4-ZINC04423351-0.pdb	13	2	2	0	1	1	0	0	1	3
cav1m17_AQ4-ZINC04442280-0.pdb	5	6	1	1	0	1	0	0	3	1
cav1m17_AQ4-ZINC04453377-0.pdb	15	7	1	4	0	0	0	0	0	3
cav1m17_AQ4-ZINC04453554-0.pdb	14	5	0	4	0	0	0	1	0	3
cav1m17_AQ4-ZINC04525602-0.pdb	16	3	2	0	0	3	0	1	0	4
cav1m17_AQ4-ZINC04544520-0.pdb	15	5	1	2	0	4	0	1	0	3
cav1m17_AQ4-ZINC04555318-0.pdb	15	6	3	0	0	3	0	1	0	4
cav1m17_AQ4-ZINC04575695-0.pdb	20	2	0	2	0	2	0	0	0	4
cav1m17_AQ4-ZINC04593585-0.pdb	14	5	1	1	1	2	0	0	1	3
cav1m17_AQ4-ZINC04625401-0.pdb	17	2	0	3	0	2	0	1	0	3
cav1m17_AQ4-ZINC04631518-0.pdb	13	5	0	4	0	0	0	0	0	4
cav1m17_AQ4-ZINC04645992-0.pdb	8	6	0	2	0	4	0	1	0	2
cav1m17_AQ4-ZINC04660914-0.pdb	11	4	1	2	0	2	0	1	0	3
cav1m17_AQ4-ZINC04663459-0.pdb	17	5	2	1	0	1	0	0	0	4
cav1m17_AQ4-ZINC04690424-0.pdb	10	5	0	4	0	2	0	0	0	3
cav1m17_AQ4-ZINC04712898-0.pdb	14	1	0	3	0	3	0	0	0	3
cav1m17_AQ4-ZINC04718140-0.pdb	20	2	3	1	1	1	0	0	0	6
cav1m17_AQ4-ZINC04747293-0.pdb	15	0	3	1	0	0	0	1	1	4
cav1m17_AQ4-ZINC04752008-0.pdb	16	2	2	3	0	3	0	0	0	3
cav1m17_AQ4-ZINC04781838-0.pdb	13	7	2	1	0	3	0	2	0	3
cav1m17_AQ4-ZINC04809695-0.pdb	17	5	3	0	0	3	0	0	1	4
cav1m17_AQ4-ZINC04819625-0.pdb	16	5	3	2	0	2	0	0	1	4
cav1m17_AQ4-ZINC04858274-0.pdb	16	5	2	1	0	3	0	1	0	3
cav1m17_AQ4-ZINC04889004-0.pdb	16	4	0	4	0	0	0	0	0	3
cav1m17_AQ4-ZINC04926711-0.pdb	8	9	4	2	0	2	0	1	1	2
cav1m17_AQ4-ZINC04933383-0.pdb	17	3	2	1	0	1	0	1	0	4
cav1m17_AQ4-ZINC04944277-0.pdb	13	1	3	0	0	2	0	1	2	3
cav1m17_AQ4-ZINC04954750-0.pdb	15	4	2	2	0	3	0	0	0	4
cav1m17_AQ4-ZINC04966124-0.pdb	15	1	0	2	0	2	0	0	1	3
cav1m17_AQ4-ZINC04978049-0.pdb	15	2	3	1	0	2	0	0	0	3
cav1m17_AQ4-ZINC04979854-0.pdb	14	4	1	2	0	1	0	0	0	3
cav1m17_AQ4-ZINC05041044-0.pdb	14	6	2	1	0	5	0	0	1	3
cav1m17_AQ4-ZINC05055617-0.pdb	14	3	1	1	0	2	0	1	0	4
cav1m17_AQ4-ZINC05067249-0.pdb	14	6	2	1	0	5	0	0	1	3
cav1m17_AQ4-ZINC05071566-0.pdb	13	6	2	2	0	3	0	2	0	3
cav1m17_AQ4-ZINC05091741-0.pdb	21	1	2	1	0	2	0	0	0	5
cav1m17_AQ4-ZINC05095408-0.pdb	16	5	2	2	1	2	0	1	0	4
cav1m17_AQ4-ZINC05130185-0.pdb	16	1	2	2	1	0	0	1	1	4
cav1m17_AQ4-ZINC05149615-0.pdb	18	4	2	2	1	1	0	1	0	4
cav1m17_AQ4-ZINC05204509-0.pdb	20	3	2	1	1	1	0	1	0	5
cav1m17_AQ4-ZINC05206422-0.pdb	14	2	0	3	0	1	0	1	0	4
cav1m17_AQ4-ZINC05257281-0.pdb	9	2	3	0	0	0	0	1	3	2
cav1m17_AQ4-ZINC05265836-0.pdb	14	4	1	2	0	1	0	0	0	3
cav1m17_AQ4-ZINC05296778-0.pdb	17	2	2	2	0	1	0	0	1	4
cav1m17_AQ4-ZINC05310022-0.pdb	6	6	3	2	0	2	0	1	1	2
cav1m17_AQ4-ZINC05319186-0.pdb	15	3	2	3	0	3	0	0	0	3
cav1m17_AQ4-ZINC05345950-0.pdb	13	8	3	0	0	3	0	0	1	4
cav1m17_AQ4-ZINC05365783-0.pdb	18	2	3	2	2	0	0	1	0	4
cav1m17_AQ4-ZINC05390562-0.pdb	19	1	3	1	1	1	0	0	0	7
cav1m17_AQ4-ZINC05409187-0.pdb	16	1	2	2	1	0	0	1	1	4
cav1m17_AQ4-ZINC05413147-0.pdb	22	2	4	1	2	0	0	0	0	6
cav1m17_AQ4-ZINC05459053-0.pdb	21	2	3	0	0	0	0	0	0	6
cav1m17_AQ4-ZINC05459213-0.pdb	22	0	3	0	0	0	0	0	1	5
cav1m17_AQ4-ZINC05460562-0.pdb	22	1	3	0	0	0	0	0	0	5
cav1m17_AQ4-ZINC05487696-0.pdb	18	5	3	0	0	2	0	0	0	5
cav1m17_AQ4-ZINC05517052-0.pdb	12	5	0	2	0	3	0	0	0	2
cav1m17_AQ4-ZINC05567206-0.pdb	12	1	3	2	0	1	0	1	0	4
cav1m17_AQ4-ZINC05605184-0.pdb	21	0	3	1	0	1	0	0	0	3
cav1m17_AQ4-ZINC05658973-0.pdb	15	2	1	2	0	1	0	1	0	4
cav1m17_AQ4-ZINC05678345-0.pdb	13	4	3	2	0	2	0	1	0	4
cav1m17_AQ4-ZINC05689230-0.pdb	11	6	4	2	0	1	0	1	0	3
cav1m17_AQ4-ZINC05709868-0.pdb	16	5	0	3	0	5	0	0	0	4
cav1m17_AQ4-ZINC05717899-0.pdb	11	5	2	2	0	3	0	3	0	3
cav1m17_AQ4-ZINC05724474-0.pdb	15	1	5	1	0	0	0	0	1	4
cav1m17_AQ4-ZINC05731767-0.pdb	16	1	3	2	0	0	0	1	0	4
cav1m17_AQ4-ZINC05834992-0.pdb	13	4	0	3	0	1	0	0	0	3
cav1m17_AQ4-ZINC05866963-0.pdb	16	4	2	0	0	2	0	0	0	3
cav1m17_AQ4-ZINC05868263-0.pdb	14	9	1	3	0	3	0	0	0	3
cav1m17_AQ4-ZINC05923871-0.pdb	17	4	3	0	0	4	0	1	0	4
cav1m17_AQ4-ZINC05943007-0.pdb	16	6	2	1	0	4	0	0	0	3
cav1m17_AQ4-ZINC05963664-0.pdb	16	3	2	0	0	1	0	0	1	3
cav1m17_AQ4-ZINC06035474-0.pdb	15	4	5	1	0	1	0	2	0	4
cav1m17_AQ4-ZINC06057902-0.pdb	14	6	3	2	0	2	0	1	0	3
cav1m17_AQ4-ZINC06058181-0.pdb	14	5	3	2	0	1	0	1	1	3
cav1m17_AQ4-ZINC06149082-0.pdb	19	8	6	0	0	1	0	0	0	5
cav1m17_AQ4-ZINC06149257-0.pdb	19	8	6	0	0	1	0	0	0	5
cav1m17_AQ4-ZINC06149284-0.pdb	20	7	6	0	0	1	0	0	0	5
cav1m17_AQ4-ZINC06162451-0.pdb	21	6	1	1	0	4	0	0	0	4
cav1m17_AQ4-ZINC06162687-0.pdb	19	3	1	0	1	3	0	0	0	5
cav1m17_AQ4-ZINC06162688-0.pdb	19	3	1	0	1	3	0	0	0	5
cav1m17_AQ4-ZINC06180650-0.pdb	17	3	1	3	0	0	0	0	0	4
cav1m17_AQ4-ZINC06189026-0.pdb	9	0	1	3	0	0	0	1	3	2
cav1m17_AQ4-ZINC06381984-0.pdb	16	4	0	4	0	0	0	0	0	3
cav1m17_AQ4-ZINC06442362-0.pdb	21	4	6	0	0	1	0	0	0	6
cav1m17_AQ4-ZINC06485562-0.pdb	14	0	2	2	0	2	0	3	0	4
cav1m17_AQ4-ZINC06537097-0.pdb	11	3	0	2	0	4	0	1	0	3
cav1m17_AQ4-ZINC06552422-0.pdb	15	3	0	1	1	1	0	0	1	3
cav1m17_AQ4-ZINC06552423-0.pdb	15	3	0	1	1	1	0	0	1	3
cav1m17_AQ4-ZINC06563483-0.pdb	12	7	0	4	0	4	0	1	0	2
cav1m17_AQ4-ZINC06566752-0.pdb	18	3	3	1	0	2	0	1	0	4
cav1m17_AQ4-ZINC06571251-0.pdb	16	4	2	2	0	1	0	0	0	4
cav1m17_AQ4-ZINC06600845-0.pdb	19	3	4	0	0	1	0	0	0	4
cav1m17_AQ4-ZINC06610149-0.pdb	16	3	1	1	1	2	0	1	0	4
cav1m17_AQ4-ZINC06660208-0.pdb	14	8	1	1	1	3	0	0	1	3
cav1m17_AQ4-ZINC06703835-0.pdb	14	4	2	1	1	0	0	0	0	3
cav1m17_AQ4-ZINC06742529-0.pdb	13	2	1	1	0	3	0	1	0	3
cav1m17_AQ4-ZINC06764146-0.pdb	8	8	0	3	0	2	0	2	0	2
cav1m17_AQ4-ZINC06788282-0.pdb	10	9	2	2	0	3	0	0	1	2
cav1m17_AQ4-ZINC06825639-0.pdb	9	2	4	2	0	0	0	0	0	3
cav1m17_AQ4-ZINC06839646-0.pdb	13	9	1	2	1	4	0	0	0	3
cav1m17_AQ4-ZINC06882813-0.pdb	17	2	0	3	1	4	0	1	0	4
cav1m17_AQ4-ZINC06907438-0.pdb	13	8	4	1	0	2	0	1	0	3
cav1m17_AQ4-ZINC07002773-0.pdb	20	3	4	0	0	2	0	1	0	5
cav1m17_AQ4-ZINC07002777-0.pdb	20	3	4	0	0	2	0	1	0	5
cav1m17_AQ4-ZINC07090896-0.pdb	11	6	4	1	0	3	0	2	0	3
cav1m17_AQ4-ZINC07126830-0.pdb	15	0	4	1	0	1	0	0	1	4
cav1m17_AQ4-ZINC07130661-0.pdb	10	7	2	2	1	2	0	2	0	3
cav1m17_AQ4-ZINC07221181-0.pdb	17	3	1	2	2	3	0	1	0	4
cav1m17_AQ4-ZINC07247230-0.pdb	12	5	2	3	0	2	0	2	0	4
cav1m17_AQ4-ZINC07298541-0.pdb	14	6	3	2	0	2	0	1	0	3
cav1m17_AQ4-ZINC07321229-0.pdb	11	5	0	4	0	4	0	0	0	3
cav1m17_AQ4-ZINC07323792-0.pdb	12	7	0	3	0	5	0	1	0	2
cav1m17_AQ4-ZINC07456400-0.pdb	18	3	0	3	3	1	0	1	0	4
cav1m17_AQ4-ZINC07647912-0.pdb	19	4	0	1	2	1	0	0	0	4
cav1m17_AQ4-ZINC07659501-0.pdb	8	12	0	3	0	4	0	1	0	2
cav1m17_AQ4-ZINC07659502-0.pdb	8	12	0	3	0	4	0	1	0	2
cav1m17_AQ4-ZINC07692710-0.pdb	10	5	2	3	0	1	0	1	0	2
cav1m17_AQ4-ZINC07737385-0.pdb	12	7	1	2	0	4	0	0	0	3
cav1m17_AQ4-ZINC07770976-0.pdb	11	9	1	2	0	3	0	1	0	2
cav1m17_AQ4-ZINC07872638-0.pdb	14	8	2	1	0	1	0	0	0	3
cav1m17_AQ4-ZINC07884043-0.pdb	20	2	2	0	0	4	0	0	0	4
cav1m17_AQ4-ZINC07961005-0.pdb	12	4	2	2	1	2	0	1	2	3
cav1m17_AQ4-ZINC07963987-0.pdb	15	6	2	2	0	3	0	0	0	4
cav1m17_AQ4-ZINC08076280-0.pdb	20	3	2	1	2	1	0	1	0	5
cav1m17_AQ4-ZINC08088423-0.pdb	12	5	0	3	0	4	0	0	1	2
cav1m17_AQ4-ZINC08185263-0.pdb	19	2	0	2	2	3	0	1	0	4
cav1m17_AQ4-ZINC08185775-0.pdb	15	5	1	2	0	3	0	2	0	3
cav1m17_AQ4-ZINC08190265-0.pdb	13	6	0	3	2	3	0	1	0	3
cav1m17_AQ4-ZINC08277376-0.pdb	12	6	0	3	0	3	0	0	2	2
cav1m17_AQ4-ZINC08318824-0.pdb	18	5	1	2	2	2	0	0	0	4
cav1m17_AQ4-ZINC08325625-0.pdb	12	4	1	2	0	3	0	0	1	4
cav1m17_AQ4-ZINC08353487-0.pdb	16	0	4	0	1	2	0	1	1	4
cav1m17_AQ4-ZINC08382040-0.pdb	13	2	1	3	0	1	0	1	0	3
cav1m17_AQ4-ZINC08442112-0.pdb	19	5	3	2	1	1	0	1	0	5
cav1m17_AQ4-ZINC08572939-0.pdb	8	2	2	4	1	1	0	0	2	2
cav1m17_AQ4-ZINC08595971-0.pdb	14	11	1	2	0	5	0	1	0	3
cav1m17_AQ4-ZINC08603496-0.pdb	16	6	2	0	0	5	0	1	0	3
cav1m17_AQ4-ZINC08622840-0.pdb	15	6	3	2	0	1	0	1	0	4
cav1m17_AQ4-ZINC08636255-0.pdb	23	0	5	0	0	1	0	1	0	6
cav1m17_AQ4-ZINC08648535-0.pdb	15	5	3	3	0	4	0	0	0	4
cav1m17_AQ4-ZINC08684089-0.pdb	17	5	2	2	1	4	0	1	0	5
cav1m17_AQ4-ZINC08694283-0.pdb	18	0	4	0	0	1	0	1	1	6
cav1m17_AQ4-ZINC08695096-0.pdb	19	5	4	1	0	3	0	0	0	4
cav1m17_AQ4-ZINC08711726-0.pdb	15	7	2	2	0	4	0	0	0	3
cav1m17_AQ4-ZINC08721725-0.pdb	19	1	3	0	1	1	0	1	2	5
cav1m17_AQ4-ZINC08733716-0.pdb	20	0	4	1	0	0	0	0	1	6
cav1m17_AQ4-ZINC08739084-0.pdb	26	1	3	1	0	3	0	0	0	6
cav1m17_AQ4-ZINC08747796-0.pdb	17	6	2	1	1	1	0	2	0	4
cav1m17_AQ4-ZINC08762006-0.pdb	14	2	3	0	0	2	0	0	2	5
cav1m17_AQ4-ZINC08769529-0.pdb	14	8	2	2	0	3	0	0	0	3
cav1m17_AQ4-ZINC08789843-0.pdb	19	4	3	0	0	3	0	1	1	5
cav1m17_AQ4-ZINC08799036-0.pdb	23	3	2	1	0	2	0	1	0	5
cav1m17_AQ4-ZINC08799205-0.pdb	19	4	2	1	0	2	0	1	1	4
cav1m17_AQ4-ZINC08800198-0.pdb	20	3	2	1	0	2	0	1	1	4
cav1m17_AQ4-ZINC08800227-0.pdb	18	3	2	1	0	2	0	2	1	4
cav1m17_AQ4-ZINC08800253-0.pdb	19	4	2	1	0	2	0	1	0	5
cav1m17_AQ4-ZINC08801625-0.pdb	23	3	2	1	0	2	0	1	0	5
cav1m17_AQ4-ZINC08801685-0.pdb	19	4	2	1	0	2	0	1	1	4
cav1m17_AQ4-ZINC08838279-0.pdb	19	2	3	0	0	3	0	2	0	5
cav1m17_AQ4-ZINC08839804-0.pdb	19	4	1	2	1	3	0	0	0	4
cav1m17_AQ4-ZINC08861223-0.pdb	18	4	2	2	0	5	0	1	1	4
cav1m17_AQ4-ZINC08876707-0.pdb	27	4	3	0	0	3	0	0	0	7
cav1m17_AQ4-ZINC08889404-0.pdb	17	6	3	0	0	4	0	0	0	4
cav1m17_AQ4-ZINC08918784-0.pdb	20	4	3	1	1	2	0	0	0	5
cav1m17_AQ4-ZINC08921738-0.pdb	13	7	1	1	0	3	0	1	2	3
cav1m17_AQ4-ZINC08923397-0.pdb	19	4	3	0	0	3	0	2	0	5
