#Ligand;TotalEnergy;keterangan
cav4mxo_DB8-ZINC08771546-0.pdb;-107.318;0
cav4mxo_DB8-ZINC41290301-0.pdb;-107.308;0
cav4mxo_DB8-ZINC36660353-0.pdb;-107.292;0
cav4mxo_DB8-ZINC28057373-0.pdb;-107.213;0
cav4mxo_DB8-CHEMBL584915-0.pdb;-107.111;1
cav4mxo_DB8-ZINC54477436-0.pdb;-107.021;0
cav4mxo_DB8-ZINC36833775-0.pdb;-106.976;0
cav4mxo_DB8-ZINC39035205-0.pdb;-106.972;0
cav4mxo_DB8-ZINC12135535-0.pdb;-106.951;0
cav4mxo_DB8-ZINC14549061-0.pdb;-106.921;0
cav4mxo_DB8-ZINC13565789-0.pdb;-106.884;0
cav4mxo_DB8-ZINC13499251-0.pdb;-106.856;0
cav4mxo_DB8-ZINC49487620-0.pdb;-106.733;0
cav4mxo_DB8-ZINC03618394-0.pdb;-106.38;0
cav4mxo_DB8-ZINC64871252-0.pdb;-106.265;0
cav4mxo_DB8-ZINC39692312-0.pdb;-106.174;0
cav4mxo_DB8-ZINC33812658-0.pdb;-106.079;0
cav4mxo_DB8-ZINC13127841-0.pdb;-106.063;0
cav4mxo_DB8-ZINC39973238-0.pdb;-105.819;0
cav4mxo_DB8-ZINC11784330-0.pdb;-105.813;0
cav4mxo_DB8-ZINC39220777-0.pdb;-105.772;0
cav4mxo_DB8-ZINC63479924-0.pdb;-105.766;0
cav4mxo_DB8-ZINC63515319-0.pdb;-105.749;0
cav4mxo_DB8-ZINC39436168-0.pdb;-105.694;0
cav4mxo_DB8-ZINC09066581-0.pdb;-105.681;0
cav4mxo_DB8-ZINC32929265-0.pdb;-105.561;0
cav4mxo_DB8-ZINC12559222-0.pdb;-105.412;0
cav4mxo_DB8-ZINC06443613-0.pdb;-105.331;0
cav4mxo_DB8-ZINC19234504-0.pdb;-105.302;0
cav4mxo_DB8-ZINC13241600-0.pdb;-105.281;0
cav4mxo_DB8-ZINC39960639-0.pdb;-105.199;0
cav4mxo_DB8-ZINC16958395-0.pdb;-104.952;0
cav4mxo_DB8-ZINC02501740-0.pdb;-104.915;0
cav4mxo_DB8-ZINC38546596-0.pdb;-104.891;0
cav4mxo_DB8-ZINC39747216-0.pdb;-104.857;0
cav4mxo_DB8-ZINC15959863-0.pdb;-104.724;0
cav4mxo_DB8-CHEMBL112706-0.pdb;-104.72;1
cav4mxo_DB8-ZINC64048343-0.pdb;-104.709;0
cav4mxo_DB8-ZINC57586037-0.pdb;-104.664;0
cav4mxo_DB8-CHEMBL569256-0.pdb;-104.638;1
cav4mxo_DB8-ZINC63375961-0.pdb;-104.59;0
cav4mxo_DB8-ZINC14471776-0.pdb;-104.399;0
cav4mxo_DB8-ZINC40014634-0.pdb;-104.387;0
cav4mxo_DB8-ZINC12524086-0.pdb;-104.23;0
cav4mxo_DB8-ZINC13527887-0.pdb;-104.172;0
cav4mxo_DB8-ZINC17101874-0.pdb;-104.156;0
cav4mxo_DB8-ZINC35271355-0.pdb;-104.049;0
cav4mxo_DB8-CHEMBL585666-0.pdb;-103.952;1
cav4mxo_DB8-ZINC27550179-0.pdb;-103.751;0
cav4mxo_DB8-ZINC09884466-0.pdb;-103.737;0
cav4mxo_DB8-ZINC44858807-0.pdb;-103.453;0
cav4mxo_DB8-ZINC04066587-0.pdb;-103.411;0
cav4mxo_DB8-ZINC12338161-0.pdb;-103.407;0
cav4mxo_DB8-ZINC02129336-0.pdb;-103.33;0
cav4mxo_DB8-ZINC12862740-0.pdb;-103.314;0
cav4mxo_DB8-ZINC02204041-0.pdb;-103.298;0
cav4mxo_DB8-ZINC35449332-0.pdb;-103.231;0
cav4mxo_DB8-ZINC16031624-0.pdb;-103.165;0
cav4mxo_DB8-ZINC14475831-0.pdb;-103.155;0
cav4mxo_DB8-ZINC10294983-0.pdb;-103.1;0
cav4mxo_DB8-ZINC13248655-0.pdb;-102.902;0
cav4mxo_DB8-CHEMBL131725-0.pdb;-102.9;1
cav4mxo_DB8-ZINC35877093-0.pdb;-102.845;0
cav4mxo_DB8-ZINC19208559-0.pdb;-102.778;0
cav4mxo_DB8-ZINC08269589-0.pdb;-102.765;0
cav4mxo_DB8-ZINC13398608-0.pdb;-102.744;0
cav4mxo_DB8-ZINC36309893-0.pdb;-102.685;0
cav4mxo_DB8-ZINC13212321-0.pdb;-102.606;0
cav4mxo_DB8-ZINC08817793-0.pdb;-102.594;0
cav4mxo_DB8-ZINC65265927-0.pdb;-102.578;0
cav4mxo_DB8-ZINC11898379-0.pdb;-102.57;0
cav4mxo_DB8-ZINC27550182-0.pdb;-102.539;0
cav4mxo_DB8-ZINC16912761-0.pdb;-102.458;0
cav4mxo_DB8-ZINC65743010-0.pdb;-102.419;0
cav4mxo_DB8-ZINC36304106-0.pdb;-102.387;0
cav4mxo_DB8-ZINC02102371-0.pdb;-102.327;0
cav4mxo_DB8-ZINC12661539-0.pdb;-102.229;0
cav4mxo_DB8-ZINC63383932-0.pdb;-101.98;0
cav4mxo_DB8-ZINC13184479-0.pdb;-101.921;0
cav4mxo_DB8-ZINC13242216-0.pdb;-101.893;0
cav4mxo_DB8-ZINC36833774-0.pdb;-101.891;0
cav4mxo_DB8-ZINC20489747-0.pdb;-101.772;0
cav4mxo_DB8-ZINC64202261-0.pdb;-101.758;0
cav4mxo_DB8-ZINC40110752-0.pdb;-101.693;0
cav4mxo_DB8-ZINC09577818-0.pdb;-101.68;0
cav4mxo_DB8-ZINC13406277-0.pdb;-101.587;0
cav4mxo_DB8-ZINC38872589-0.pdb;-101.578;0
cav4mxo_DB8-ZINC00712251-0.pdb;-101.55;0
cav4mxo_DB8-ZINC13126954-0.pdb;-101.537;0
cav4mxo_DB8-ZINC19291276-0.pdb;-101.47;0
cav4mxo_DB8-ZINC40111111-0.pdb;-101.458;0
cav4mxo_DB8-ZINC41586515-0.pdb;-101.435;0
cav4mxo_DB8-ZINC39939034-0.pdb;-101.419;0
cav4mxo_DB8-ZINC13776534-0.pdb;-101.411;0
cav4mxo_DB8-ZINC65751737-0.pdb;-101.339;0
cav4mxo_DB8-ZINC14360873-0.pdb;-101.333;0
cav4mxo_DB8-ZINC64480104-0.pdb;-101.248;0
cav4mxo_DB8-ZINC12009706-0.pdb;-101.163;0
cav4mxo_DB8-ZINC13335291-0.pdb;-101.111;0
cav4mxo_DB8-ZINC63111163-0.pdb;-101.089;0
cav4mxo_DB8-ZINC39747283-0.pdb;-101.077;0
cav4mxo_DB8-CHEMBL584054-0.pdb;-101.056;1
cav4mxo_DB8-ZINC35105446-0.pdb;-101.029;0
cav4mxo_DB8-ZINC00705606-0.pdb;-101.015;0
cav4mxo_DB8-ZINC54591911-0.pdb;-100.972;0
cav4mxo_DB8-ZINC10335591-0.pdb;-100.963;0
cav4mxo_DB8-CHEMBL40557-0.pdb;-100.96;1
cav4mxo_DB8-ZINC10295430-0.pdb;-100.854;0
cav4mxo_DB8-ZINC39747206-0.pdb;-100.815;0
cav4mxo_DB8-ZINC39535971-0.pdb;-100.754;0
cav4mxo_DB8-ZINC33708602-0.pdb;-100.676;0
cav4mxo_DB8-ZINC39545129-0.pdb;-100.658;0
cav4mxo_DB8-ZINC65423536-0.pdb;-100.604;0
cav4mxo_DB8-ZINC29112861-0.pdb;-100.452;0
cav4mxo_DB8-ZINC02128081-0.pdb;-100.385;0
cav4mxo_DB8-ZINC44877789-0.pdb;-100.342;0
cav4mxo_DB8-ZINC12042710-0.pdb;-100.289;0
cav4mxo_DB8-ZINC39694214-0.pdb;-100.24;0
cav4mxo_DB8-ZINC39934818-0.pdb;-100.219;0
cav4mxo_DB8-ZINC64746058-0.pdb;-100.214;0
cav4mxo_DB8-ZINC32906695-0.pdb;-100.128;0
cav4mxo_DB8-ZINC28933372-0.pdb;-100.047;0
cav4mxo_DB8-ZINC59487378-0.pdb;-100.019;0
cav4mxo_DB8-ZINC36303553-0.pdb;-99.9064;0
cav4mxo_DB8-ZINC39456314-0.pdb;-99.8288;0
cav4mxo_DB8-ZINC02346113-0.pdb;-99.8206;0
cav4mxo_DB8-ZINC35447970-0.pdb;-99.787;0
cav4mxo_DB8-ZINC60275718-0.pdb;-99.7782;0
cav4mxo_DB8-ZINC64393040-0.pdb;-99.7269;0
cav4mxo_DB8-ZINC39396518-0.pdb;-99.7201;0
cav4mxo_DB8-ZINC44321898-0.pdb;-99.6857;0
cav4mxo_DB8-ZINC13567687-0.pdb;-99.6551;0
cav4mxo_DB8-ZINC48149532-0.pdb;-99.4889;0
cav4mxo_DB8-ZINC40433796-0.pdb;-99.4397;0
cav4mxo_DB8-ZINC09217653-0.pdb;-99.427;0
cav4mxo_DB8-ZINC36638222-0.pdb;-99.3537;0
cav4mxo_DB8-ZINC19641335-0.pdb;-99.3136;0
cav4mxo_DB8-ZINC00945140-0.pdb;-99.2975;0
cav4mxo_DB8-ZINC22473174-0.pdb;-99.266;0
cav4mxo_DB8-ZINC39415639-0.pdb;-99.2595;0
cav4mxo_DB8-ZINC59461650-0.pdb;-99.232;0
cav4mxo_DB8-ZINC10644818-0.pdb;-99.2283;0
cav4mxo_DB8-ZINC36203398-0.pdb;-99.2187;0
cav4mxo_DB8-ZINC28932877-0.pdb;-99.1426;0
cav4mxo_DB8-ZINC14732994-0.pdb;-99.108;0
cav4mxo_DB8-ZINC02520133-0.pdb;-99.033;0
cav4mxo_DB8-ZINC64392920-0.pdb;-99.0284;0
cav4mxo_DB8-ZINC63159846-0.pdb;-98.9878;0
cav4mxo_DB8-ZINC20386527-0.pdb;-98.9844;0
cav4mxo_DB8-ZINC20558709-0.pdb;-98.9331;0
cav4mxo_DB8-ZINC09355272-0.pdb;-98.902;0
cav4mxo_DB8-ZINC01719314-0.pdb;-98.8263;0
cav4mxo_DB8-ZINC02120961-0.pdb;-98.7318;0
cav4mxo_DB8-ZINC46875832-0.pdb;-98.6839;0
cav4mxo_DB8-ZINC03414144-0.pdb;-98.5269;0
cav4mxo_DB8-ZINC08962565-0.pdb;-98.5266;0
cav4mxo_DB8-ZINC13473997-0.pdb;-98.5212;0
cav4mxo_DB8-ZINC17445973-0.pdb;-98.4541;0
cav4mxo_DB8-ZINC12007860-0.pdb;-98.3811;0
cav4mxo_DB8-ZINC09590036-0.pdb;-98.3602;0
cav4mxo_DB8-ZINC63560707-0.pdb;-98.355;0
cav4mxo_DB8-ZINC63294401-0.pdb;-98.2785;0
cav4mxo_DB8-ZINC39946478-0.pdb;-98.2472;0
cav4mxo_DB8-ZINC12506726-0.pdb;-98.2468;0
cav4mxo_DB8-ZINC63237396-0.pdb;-98.1869;0
cav4mxo_DB8-ZINC20911796-0.pdb;-98.1742;0
cav4mxo_DB8-ZINC02501768-0.pdb;-98.0779;0
cav4mxo_DB8-ZINC39710210-0.pdb;-98.0768;0
cav4mxo_DB8-ZINC39676584-0.pdb;-98.0541;0
cav4mxo_DB8-ZINC36158869-0.pdb;-97.9099;0
cav4mxo_DB8-ZINC09223706-0.pdb;-97.8856;0
cav4mxo_DB8-ZINC35397895-0.pdb;-97.8448;0
cav4mxo_DB8-ZINC08789213-0.pdb;-97.7867;0
cav4mxo_DB8-ZINC04733165-0.pdb;-97.7866;0
cav4mxo_DB8-ZINC13243989-0.pdb;-97.7835;0
cav4mxo_DB8-ZINC20029614-0.pdb;-97.7534;0
cav4mxo_DB8-ZINC39855966-0.pdb;-97.734;0
cav4mxo_DB8-ZINC63097159-0.pdb;-97.7197;0
cav4mxo_DB8-ZINC36839474-0.pdb;-97.6771;0
cav4mxo_DB8-ZINC20558506-0.pdb;-97.6653;0
cav4mxo_DB8-ZINC33123031-0.pdb;-97.6626;0
cav4mxo_DB8-ZINC04952176-0.pdb;-97.626;0
cav4mxo_DB8-ZINC08430576-0.pdb;-97.5025;0
cav4mxo_DB8-ZINC22063162-0.pdb;-97.4748;0
cav4mxo_DB8-ZINC09209626-0.pdb;-97.4692;0
cav4mxo_DB8-ZINC09494343-0.pdb;-97.4432;0
cav4mxo_DB8-ZINC63491754-0.pdb;-97.4296;0
cav4mxo_DB8-ZINC09308318-0.pdb;-97.4185;0
cav4mxo_DB8-ZINC09612454-0.pdb;-97.4125;0
cav4mxo_DB8-ZINC24309702-0.pdb;-97.3872;0
cav4mxo_DB8-ZINC08870374-0.pdb;-97.3845;0
cav4mxo_DB8-ZINC35058784-0.pdb;-97.3215;0
cav4mxo_DB8-ZINC27520972-0.pdb;-97.2863;0
cav4mxo_DB8-ZINC09671784-0.pdb;-97.2541;0
cav4mxo_DB8-ZINC13499550-0.pdb;-97.2495;0
cav4mxo_DB8-ZINC38701805-0.pdb;-97.2484;0
cav4mxo_DB8-ZINC12401686-0.pdb;-97.2205;0
cav4mxo_DB8-ZINC39795002-0.pdb;-97.2058;0
cav4mxo_DB8-ZINC24890853-0.pdb;-97.1813;0
cav4mxo_DB8-ZINC12858318-0.pdb;-97.1706;0
cav4mxo_DB8-ZINC16024811-0.pdb;-97.1536;0
cav4mxo_DB8-ZINC16677211-0.pdb;-97.115;0
cav4mxo_DB8-ZINC09155341-0.pdb;-97.1094;0
cav4mxo_DB8-ZINC32510552-0.pdb;-97.1059;0
cav4mxo_DB8-ZINC39709977-0.pdb;-97.1033;0
cav4mxo_DB8-ZINC39686718-0.pdb;-97.0656;0
cav4mxo_DB8-ZINC53518654-0.pdb;-97.0281;0
cav4mxo_DB8-ZINC12098632-0.pdb;-97.0155;0
cav4mxo_DB8-ZINC11540759-0.pdb;-97.0101;0
cav4mxo_DB8-ZINC36570136-0.pdb;-97.0063;0
cav4mxo_DB8-ZINC35656021-0.pdb;-96.9746;0
cav4mxo_DB8-ZINC38596688-0.pdb;-96.9596;0
cav4mxo_DB8-ZINC39530003-0.pdb;-96.9432;0
cav4mxo_DB8-ZINC30979381-0.pdb;-96.9032;0
cav4mxo_DB8-ZINC39011801-0.pdb;-96.8994;0
cav4mxo_DB8-ZINC63291121-0.pdb;-96.8729;0
cav4mxo_DB8-ZINC08598715-0.pdb;-96.8726;0
cav4mxo_DB8-ZINC46920910-0.pdb;-96.8725;0
cav4mxo_DB8-ZINC10092698-0.pdb;-96.8521;0
cav4mxo_DB8-ZINC38971365-0.pdb;-96.7751;0
cav4mxo_DB8-ZINC07852729-0.pdb;-96.7729;0
cav4mxo_DB8-ZINC08868488-0.pdb;-96.7705;0
cav4mxo_DB8-ZINC38970702-0.pdb;-96.7537;0
cav4mxo_DB8-ZINC03336406-0.pdb;-96.7526;0
cav4mxo_DB8-ZINC08644689-0.pdb;-96.7132;0
cav4mxo_DB8-ZINC39855933-0.pdb;-96.6996;0
cav4mxo_DB8-ZINC13244704-0.pdb;-96.694;0
cav4mxo_DB8-ZINC39992329-0.pdb;-96.6105;0
cav4mxo_DB8-ZINC58385775-0.pdb;-96.6093;0
cav4mxo_DB8-ZINC08674008-0.pdb;-96.5306;0
cav4mxo_DB8-ZINC25182571-0.pdb;-96.4945;0
cav4mxo_DB8-ZINC39432376-0.pdb;-96.4784;0
cav4mxo_DB8-ZINC05409187-0.pdb;-96.3069;0
cav4mxo_DB8-ZINC62039040-0.pdb;-96.2863;0
cav4mxo_DB8-ZINC61999520-0.pdb;-96.2752;0
cav4mxo_DB8-ZINC21786099-0.pdb;-96.2651;0
cav4mxo_DB8-ZINC16917111-0.pdb;-96.2608;0
cav4mxo_DB8-ZINC42910679-0.pdb;-96.2497;0
cav4mxo_DB8-ZINC38985738-0.pdb;-96.2204;0
cav4mxo_DB8-ZINC64166281-0.pdb;-96.1924;0
cav4mxo_DB8-ZINC41583972-0.pdb;-96.1916;0
cav4mxo_DB8-ZINC12006690-0.pdb;-96.147;0
cav4mxo_DB8-ZINC54433014-0.pdb;-96.1302;0
cav4mxo_DB8-ZINC38660661-0.pdb;-96.1285;0
cav4mxo_DB8-ZINC39452984-0.pdb;-96.1187;0
cav4mxo_DB8-ZINC40957217-0.pdb;-96.0993;0
cav4mxo_DB8-ZINC23362878-0.pdb;-96.0623;0
cav4mxo_DB8-ZINC39678332-0.pdb;-96.0491;0
cav4mxo_DB8-ZINC08690289-0.pdb;-96.0352;0
cav4mxo_DB8-ZINC12885481-0.pdb;-95.9952;0
cav4mxo_DB8-ZINC34863352-0.pdb;-95.9934;0
cav4mxo_DB8-ZINC33034068-0.pdb;-95.9885;0
cav4mxo_DB8-ZINC40824742-0.pdb;-95.9794;0
cav4mxo_DB8-ZINC10353140-0.pdb;-95.8689;0
cav4mxo_DB8-ZINC20753740-0.pdb;-95.8573;0
cav4mxo_DB8-ZINC59258675-0.pdb;-95.8051;0
cav4mxo_DB8-ZINC12882721-0.pdb;-95.8039;0
cav4mxo_DB8-ZINC65423542-0.pdb;-95.7932;0
cav4mxo_DB8-ZINC03046649-0.pdb;-95.7805;0
cav4mxo_DB8-ZINC38984367-0.pdb;-95.7481;0
cav4mxo_DB8-CHEMBL567018-0.pdb;-95.7167;1
cav4mxo_DB8-ZINC64600499-0.pdb;-95.7083;0
cav4mxo_DB8-ZINC39352980-0.pdb;-95.694;0
cav4mxo_DB8-ZINC20558516-0.pdb;-95.655;0
cav4mxo_DB8-ZINC55503140-0.pdb;-95.6099;0
cav4mxo_DB8-ZINC41586188-0.pdb;-95.5714;0
cav4mxo_DB8-ZINC21599658-0.pdb;-95.4978;0
cav4mxo_DB8-ZINC10903889-0.pdb;-95.4676;0
cav4mxo_DB8-ZINC63560698-0.pdb;-95.4508;0
cav4mxo_DB8-ZINC04042773-0.pdb;-95.444;0
cav4mxo_DB8-ZINC02448904-0.pdb;-95.3941;0
cav4mxo_DB8-ZINC58017863-0.pdb;-95.3891;0
cav4mxo_DB8-ZINC08948543-0.pdb;-95.3384;0
cav4mxo_DB8-ZINC24828414-0.pdb;-95.2807;0
cav4mxo_DB8-ZINC16613079-0.pdb;-95.1839;0
cav4mxo_DB8-ZINC11910786-0.pdb;-95.1676;0
cav4mxo_DB8-ZINC36839467-0.pdb;-95.1281;0
cav4mxo_DB8-ZINC12680993-0.pdb;-95.1168;0
cav4mxo_DB8-ZINC58434953-0.pdb;-95.004;0
cav4mxo_DB8-ZINC39855929-0.pdb;-94.9605;0
cav4mxo_DB8-ZINC24911438-0.pdb;-94.8901;0
cav4mxo_DB8-ZINC04402018-0.pdb;-94.7896;0
cav4mxo_DB8-ZINC09488012-0.pdb;-94.7842;0
cav4mxo_DB8-ZINC15206019-0.pdb;-94.7813;0
cav4mxo_DB8-ZINC10353208-0.pdb;-94.737;0
cav4mxo_DB8-ZINC32594561-0.pdb;-94.7204;0
cav4mxo_DB8-ZINC65074758-0.pdb;-94.7095;0
cav4mxo_DB8-ZINC15379114-0.pdb;-94.7055;0
cav4mxo_DB8-ZINC17044361-0.pdb;-94.6307;0
cav4mxo_DB8-ZINC39459359-0.pdb;-94.6046;0
cav4mxo_DB8-ZINC14464312-0.pdb;-94.5968;0
cav4mxo_DB8-ZINC44935372-0.pdb;-94.5723;0
cav4mxo_DB8-ZINC15971860-0.pdb;-94.5332;0
cav4mxo_DB8-ZINC56762331-0.pdb;-94.529;0
cav4mxo_DB8-ZINC09502420-0.pdb;-94.5052;0
cav4mxo_DB8-ZINC35057006-0.pdb;-94.4682;0
cav4mxo_DB8-ZINC12364919-0.pdb;-94.3848;0
cav4mxo_DB8-ZINC13959404-0.pdb;-94.3622;0
cav4mxo_DB8-ZINC54643208-0.pdb;-94.3479;0
cav4mxo_DB8-ZINC12661865-0.pdb;-94.3137;0
cav4mxo_DB8-ZINC20726736-0.pdb;-94.2488;0
cav4mxo_DB8-ZINC13474011-0.pdb;-94.2034;0
cav4mxo_DB8-ZINC39991258-0.pdb;-94.1753;0
cav4mxo_DB8-ZINC39684678-0.pdb;-94.1708;0
cav4mxo_DB8-ZINC38687763-0.pdb;-94.1635;0
cav4mxo_DB8-ZINC20181086-0.pdb;-94.0883;0
cav4mxo_DB8-ZINC16287089-0.pdb;-93.9598;0
cav4mxo_DB8-ZINC32734802-0.pdb;-93.9365;0
cav4mxo_DB8-ZINC14542020-0.pdb;-93.9104;0
cav4mxo_DB8-ZINC36371651-0.pdb;-93.8987;0
cav4mxo_DB8-ZINC12191812-0.pdb;-93.8115;0
cav4mxo_DB8-ZINC07125545-0.pdb;-93.8023;0
cav4mxo_DB8-ZINC00814231-0.pdb;-93.7136;0
cav4mxo_DB8-ZINC20693701-0.pdb;-93.7021;0
cav4mxo_DB8-ZINC28804578-0.pdb;-93.6878;0
cav4mxo_DB8-ZINC40811324-0.pdb;-93.6512;0
cav4mxo_DB8-ZINC14549441-0.pdb;-93.6213;0
cav4mxo_DB8-ZINC39666251-0.pdb;-93.6156;0
cav4mxo_DB8-ZINC39237653-0.pdb;-93.611;0
cav4mxo_DB8-ZINC27667411-0.pdb;-93.5919;0
cav4mxo_DB8-ZINC03194765-0.pdb;-93.5574;0
cav4mxo_DB8-ZINC02272313-0.pdb;-93.491;0
cav4mxo_DB8-ZINC33174306-0.pdb;-93.4634;0
cav4mxo_DB8-ZINC13020463-0.pdb;-93.4558;0
cav4mxo_DB8-ZINC62704375-0.pdb;-93.437;0
cav4mxo_DB8-ZINC26225262-0.pdb;-93.4274;0
cav4mxo_DB8-ZINC65522237-0.pdb;-93.4154;0
cav4mxo_DB8-ZINC14459462-0.pdb;-93.4033;0
cav4mxo_DB8-ZINC09472916-0.pdb;-93.3683;0
cav4mxo_DB8-ZINC39301876-0.pdb;-93.3459;0
cav4mxo_DB8-ZINC59487369-0.pdb;-93.3382;0
cav4mxo_DB8-ZINC28289926-0.pdb;-93.3157;0
cav4mxo_DB8-ZINC43025225-0.pdb;-93.2627;0
cav4mxo_DB8-ZINC63547661-0.pdb;-93.2551;0
cav4mxo_DB8-ZINC39447453-0.pdb;-93.2543;0
cav4mxo_DB8-ZINC67585332-0.pdb;-93.2487;0
cav4mxo_DB8-ZINC12566139-0.pdb;-93.2473;0
cav4mxo_DB8-ZINC16917102-0.pdb;-93.2319;0
cav4mxo_DB8-ZINC06919967-0.pdb;-93.2132;0
cav4mxo_DB8-ZINC65752293-0.pdb;-93.1886;0
cav4mxo_DB8-ZINC09540483-0.pdb;-93.1647;0
cav4mxo_DB8-ZINC12008559-0.pdb;-93.1602;0
cav4mxo_DB8-ZINC13008089-0.pdb;-93.1511;0
cav4mxo_DB8-ZINC03667880-0.pdb;-93.0857;0
cav4mxo_DB8-ZINC35450288-0.pdb;-93.0817;0
cav4mxo_DB8-ZINC40475528-0.pdb;-93.0663;0
cav4mxo_DB8-ZINC08917797-0.pdb;-93.0592;0
cav4mxo_DB8-ZINC03458630-0.pdb;-93.0553;0
cav4mxo_DB8-ZINC63572610-0.pdb;-93.0303;0
cav4mxo_DB8-ZINC59121599-0.pdb;-93.0289;0
cav4mxo_DB8-ZINC40781110-0.pdb;-93.0122;0
cav4mxo_DB8-ZINC60019719-0.pdb;-92.9921;0
cav4mxo_DB8-ZINC38966112-0.pdb;-92.9374;0
cav4mxo_DB8-ZINC39931571-0.pdb;-92.9335;0
cav4mxo_DB8-ZINC58236536-0.pdb;-92.9308;0
cav4mxo_DB8-ZINC16981864-0.pdb;-92.9295;0
cav4mxo_DB8-ZINC40733454-0.pdb;-92.9224;0
cav4mxo_DB8-ZINC29202353-0.pdb;-92.9179;0
cav4mxo_DB8-ZINC13564891-0.pdb;-92.8724;0
cav4mxo_DB8-ZINC39733504-0.pdb;-92.8669;0
cav4mxo_DB8-ZINC39315069-0.pdb;-92.8325;0
cav4mxo_DB8-ZINC64644202-0.pdb;-92.8144;0
cav4mxo_DB8-ZINC08269586-0.pdb;-92.769;0
cav4mxo_DB8-ZINC11972138-0.pdb;-92.7333;0
cav4mxo_DB8-ZINC35442738-0.pdb;-92.7172;0
cav4mxo_DB8-ZINC63784707-0.pdb;-92.7161;0
